법정동코드,시도명,시군구명,지역명
4683000000,전라남도,영암군,전라남도_영암군
4684000000,전라남도,무안군,전라남도_무안군
4686000000,전라남도,함평군,전라남도_함평군
4687000000,전라남도,영광군,전라남도_영광군
4688000000,전라남도,장성군,전라남도_장성군
4689000000,전라남도,완도군,전라남도_완도군
4690000000,전라남도,진도군,전라남도_진도군
4691000000,전라남도,신안군,전라남도_신안군
4711000000,경상북도,포항시,경상북도_포항시
4713000000,경상북도,경주시,경상북도_경주시
4715000000,경상북도,김천시,경상북도_김천시
4717000000,경상북도,안동시,경상북도_안동시
4719000000,경상북도,구미시,경상북도_구미시
4721000000,경상북도,영주시,경상북도_영주시
4723000000,경상북도,영천시,경상북도_영천시
4725000000,경상북도,상주시,경상북도_상주시
4728000000,경상북도,문경시,경상북도_문경시
4729000000,경상북도,경산시,경상북도_경산시
4772000000,경상북도,군위군,경상북도_군위군
4773000000,경상북도,의성군,경상북도_의성군
4775000000,경상북도,청송군,경상북도_청송군
4776000000,경상북도,영양군,경상북도_영양군
4777000000,경상북도,영덕군,경상북도_영덕군
4782000000,경상북도,청도군,경상북도_청도군
4783000000,경상북도,고령군,경상북도_고령군
4784000000,경상북도,성주군,경상북도_성주군
4785000000,경상북도,칠곡군,경상북도_칠곡군
4790000000,경상북도,예천군,경상북도_예천군
4792000000,경상북도,봉화군,경상북도_봉화군
4793000000,경상북도,울진군,경상북도_울진군
4794000000,경상북도,울릉군,경상북도_울릉군
4812000000,경상남도,창원시,경상남도_창원시
4817000000,경상남도,진주시,경상남도_진주시
4822000000,경상남도,통영시,경상남도_통영시
4824000000,경상남도,사천시,경상남도_사천시
4825000000,경상남도,김해시,경상남도_김해시
4827000000,경상남도,밀양시,경상남도_밀양시
4831000000,경상남도,거제시,경상남도_거제시
4833000000,경상남도,양산시,경상남도_양산시
4872000000,경상남도,의령군,경상남도_의령군
4873000000,경상남도,함안군,경상남도_함안군
4874000000,경상남도,창녕군,경상남도_창녕군
4882000000,경상남도,고성군,경상남도_고성군
4884000000,경상남도,남해군,경상남도_남해군
4885000000,경상남도,하동군,경상남도_하동군
4886000000,경상남도,산청군,경상남도_산청군
4887000000,경상남도,함양군,경상남도_함양군
4888000000,경상남도,거창군,경상남도_거창군
4889000000,경상남도,합천군,경상남도_합천군
5011000000,제주특별자치도,제주시,제주특별자치도_제주시
5013000000,제주특별자치도,서귀포시,제주특별자치도_서귀포시
