법정동코드,시도명,시군구명,지역명,상급종합병원_수,종합병원_수
4571000000,전라북도,완주군,전라북도_완주군,0,0
4572000000,전라북도,진안군,전라북도_진안군,0,0
4573000000,전라북도,무주군,전라북도_무주군,0,0
4574000000,전라북도,장수군,전라북도_장수군,0,0
4575000000,전라북도,임실군,전라북도_임실군,0,0
4577000000,전라북도,순창군,전라북도_순창군,0,0
4579000000,전라북도,고창군,전라북도_고창군,0,1
4580000000,전라북도,부안군,전라북도_부안군,0,1
4611000000,전라남도,목포시,전라남도_목포시,0,5
4613000000,전라남도,여수시,전라남도_여수시,0,3
4615000000,전라남도,순천시,전라남도_순천시,0,6
4617000000,전라남도,나주시,전라남도_나주시,0,2
4623000000,전라남도,광양시,전라남도_광양시,0,2
4671000000,전라남도,담양군,전라남도_담양군,0,0
4672000000,전라남도,곡성군,전라남도_곡성군,0,0
4673000000,전라남도,구례군,전라남도_구례군,0,0
4677000000,전라남도,고흥군,전라남도_고흥군,0,1
4678000000,전라남도,보성군,전라남도_보성군,0,0
4679000000,전라남도,화순군,전라남도_화순군,1,0
4680000000,전라남도,장흥군,전라남도_장흥군,0,1
4681000000,전라남도,강진군,전라남도_강진군,0,0
4682000000,전라남도,해남군,전라남도_해남군,0,2
4683000000,전라남도,영암군,전라남도_영암군,0,0
4684000000,전라남도,무안군,전라남도_무안군,0,1
4686000000,전라남도,함평군,전라남도_함평군,0,0
4687000000,전라남도,영광군,전라남도_영광군,0,2
4688000000,전라남도,장성군,전라남도_장성군,0,0
4689000000,전라남도,완도군,전라남도_완도군,0,0
4690000000,전라남도,진도군,전라남도_진도군,0,0
4691000000,전라남도,신안군,전라남도_신안군,0,0
4711000000,경상북도,포항시,경상북도_포항시,0,5
4713000000,경상북도,경주시,경상북도_경주시,0,1
4715000000,경상북도,김천시,경상북도_김천시,0,2
4717000000,경상북도,안동시,경상북도_안동시,0,3
4719000000,경상북도,구미시,경상북도_구미시,0,3
4721000000,경상북도,영주시,경상북도_영주시,0,1
4723000000,경상북도,영천시,경상북도_영천시,0,1
4725000000,경상북도,상주시,경상북도_상주시,0,2
4728000000,경상북도,문경시,경상북도_문경시,0,1
4729000000,경상북도,경산시,경상북도_경산시,0,1
4772000000,경상북도,군위군,경상북도_군위군,0,0
4773000000,경상북도,의성군,경상북도_의성군,0,0
4775000000,경상북도,청송군,경상북도_청송군,0,0
4776000000,경상북도,영양군,경상북도_영양군,0,0
4777000000,경상북도,영덕군,경상북도_영덕군,0,0
4782000000,경상북도,청도군,경상북도_청도군,0,0
4783000000,경상북도,고령군,경상북도_고령군,0,0
4784000000,경상북도,성주군,경상북도_성주군,0,0
4785000000,경상북도,칠곡군,경상북도_칠곡군,0,0
4790000000,경상북도,예천군,경상북도_예천군,0,0
4792000000,경상북도,봉화군,경상북도_봉화군,0,0
4793000000,경상북도,울진군,경상북도_울진군,0,0
4794000000,경상북도,울릉군,경상북도_울릉군,0,0
4812000000,경상남도,창원시,경상남도_창원시,1,9
4817000000,경상남도,진주시,경상남도_진주시,1,3
4822000000,경상남도,통영시,경상남도_통영시,0,1
4824000000,경상남도,사천시,경상남도_사천시,0,0
4825000000,경상남도,김해시,경상남도_김해시,0,5
4827000000,경상남도,밀양시,경상남도_밀양시,0,0
4831000000,경상남도,거제시,경상남도_거제시,0,3
4833000000,경상남도,양산시,경상남도_양산시,1,2
4872000000,경상남도,의령군,경상남도_의령군,0,0
4873000000,경상남도,함안군,경상남도_함안군,0,0
4874000000,경상남도,창녕군,경상남도_창녕군,0,0
4882000000,경상남도,고성군,경상남도_고성군,0,0
4884000000,경상남도,남해군,경상남도_남해군,0,0
4885000000,경상남도,하동군,경상남도_하동군,0,0
4886000000,경상남도,산청군,경상남도_산청군,0,0
4887000000,경상남도,함양군,경상남도_함양군,0,0
4888000000,경상남도,거창군,경상남도_거창군,0,0
4889000000,경상남도,합천군,경상남도_합천군,0,0
5011000000,제주특별자치도,제주시,제주특별자치도_제주시,0,5
5013000000,제주특별자치도,서귀포시,제주특별자치도_서귀포시,0,1
