포항시,주민센터_수,우체국_수,대학교_수,초중고_수,도서관_수,유통_수,상급종합병원_수,종합병원_수,sum_a
효자동,0.0,0.0,0.0,0.24214539442964078,0.23192079300629334,0.0,0.0,0.0,0.4740661874359341
인덕동,0.09930835915828615,0.0,0.0,0.24214539442964078,0.0,0.11508303351875736,0.0,0.0,0.4565367871066843
덕산동,0.0,0.0,0.0,0.24214539442964078,0.0,0.0,0.0,0.0,0.24214539442964078
학잠동,0.0,0.0,0.0,0.24214539442964078,0.0,0.0,0.0,0.0,0.24214539442964078
여남동,0.0,0.0,0.0,0.24214539442964078,0.0,0.0,0.0,0.0,0.24214539442964078
항구동,0.0,0.10173915177140015,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.21769954827454682
해도동,0.09930835915828615,0.0,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.21526875566143283
대신동,0.09930835915828615,0.0,0.0,0.0,0.0,0.0,0.0,0.056679719780747845,0.155988078939034
덕수동,0.0,0.0,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.11596039650314667
상원동,0.0,0.0,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.11596039650314667
신흥동,0.0,0.10173915177140015,0.0,0.0,0.0,0.0,0.0,0.0,0.10173915177140015
송내동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
장흥동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
괴동동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
일월동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동촌동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대흥동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
호동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남빈동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중앙동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동빈2가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동빈1가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여천동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
